Date,Sessions,Bounce Rate,Conversion Rate,Traffic Source,Campaign
5/2/2025,450,0.480763904,0.056030947,Direct,Spring Sale
5/3/2025,473,0.614282281,0.065038661,Paid Search,Spring Sale
5/4/2025,482,0.640279431,0.021962979,Direct,Spring Sale
5/5/2025,509,0.400946367,0.038674045,Referral,Spring Sale
5/6/2025,512,0.344933657,0.051371259,Direct,Spring Sale
5/7/2025,509,0.408057577,0.080998688,Organic Search,Spring Sale
5/8/2025,544,0.421674671,0.04355877,Social Media,Spring Sale
5/9/2025,540,0.581351722,0.025382714,Social Media,Spring Sale
5/10/2025,523,0.339251677,0.053692677,Direct,Spring Sale
5/11/2025,465,0.525988279,0.065636457,Paid Search,Spring Sale
5/12/2025,489,0.552194157,0.055939693,Social Media,Spring Sale
5/13/2025,532,0.431997528,0.054645074,Referral,Spring Sale
5/14/2025,475,0.529307247,0.035712972,Paid Search,Spring Sale
5/15/2025,1006,0.38086965,0.063131072,Organic Search,Spring Sale
5/16/2025,514,0.615859558,0.033586354,Paid Search,Spring Sale
5/17/2025,510,0.582206016,0.08793586,Direct,Spring Sale
5/18/2025,465,0.411048557,0.033683794,Paid Search,Spring Sale
5/19/2025,532,0.501300189,0.079070682,Direct,Spring Sale
5/20/2025,505,0.562566735,0.032856849,Referral,Spring Sale
5/21/2025,485,0.39291075,0.059649448,Paid Search,Spring Sale
5/22/2025,537,0.547323762,0.048543422,Direct,Spring Sale
5/23/2025,486,0.455348505,0.067127976,Organic Search,Spring Sale
5/24/2025,476,0.517318093,0.057706348,Referral,Spring Sale
5/25/2025,504,0.505820872,0.027140594,Organic Search,Spring Sale
5/26/2025,530,0.608305124,0.071076041,Social Media,Spring Sale
5/27/2025,491,0.551503527,0.060275719,Paid Search,Spring Sale
5/28/2025,501,0.557089051,0.072711313,Direct,Spring Sale
5/29/2025,513,0.468473076,0.065179384,Referral,Spring Sale
5/30/2025,492,0.451463645,0.051637483,Paid Search,Spring Sale
5/31/2025,498,0.568626019,0.017745683,Referral,Spring Sale
6/1/2025,215,0.452806813,0.071779012,Organic Search,Summer Launch
6/2/2025,470,0.428469629,0.063591955,Referral,Summer Launch
6/3/2025,508,0.504557184,0.036967993,Social Media,Summer Launch
6/4/2025,503,0.297485741,0.053729086,Referral,Summer Launch
6/5/2025,521,0.420747926,0.047705271,Organic Search,Summer Launch
6/6/2025,525,0.379970359,0.043309975,Paid Search,Summer Launch
6/7/2025,474,0.676545424,0.058099634,Direct,Summer Launch
6/8/2025,510,0.71221562,0.070649305,Referral,Summer Launch
6/9/2025,495,0.626691115,0.035846611,Social Media,Summer Launch
6/10/2025,447,0.544381943,0.065492681,Direct,Summer Launch
6/11/2025,498,0.175873266,0.029512247,Social Media,Summer Launch
6/12/2025,476,0.66324113,0.021397172,Social Media,Summer Launch
6/13/2025,509,0.644127329,0.021282757,Paid Search,Summer Launch
6/14/2025,500,0.401849135,0.059242069,Referral,Summer Launch
6/15/2025,918,0.506980208,0.042293728,Paid Search,Summer Launch
6/16/2025,545,0.658601682,0.02524369,Direct,Summer Launch
6/17/2025,497,0.48482149,0.061766344,Paid Search,Summer Launch
6/18/2025,478,0.528099187,0.03754601,Organic Search,Summer Launch
6/19/2025,459,0.441063524,0.066992042,Paid Search,Summer Launch
6/20/2025,469,0.589959988,0.05614599,Social Media,Summer Launch
6/21/2025,516,0.417100499,0.038796379,Direct,Summer Launch
6/22/2025,517,0.497909841,0.052346548,Referral,Summer Launch
6/23/2025,492,0.554709738,0.045956147,Social Media,Summer Launch
6/24/2025,527,0.582541635,0.066270193,Referral,Summer Launch
6/25/2025,467,0.630547881,0.050420077,Social Media,Summer Launch
6/26/2025,488,0.532416635,0.047397139,Referral,Summer Launch
6/27/2025,551,0.418177932,0.091847746,Social Media,Summer Launch
6/28/2025,486,0.615811087,0.065833254,Social Media,Summer Launch
6/29/2025,521,0.498775323,0.032054913,Direct,Summer Launch
6/30/2025,453,0.597511973,0.047058852,Social Media,Summer Launch
7/1/2025,245,0.541293145,0.038725509,Referral,Summer Launch
7/2/2025,508,0.524496657,0.039861136,Organic Search,Summer Launch
7/3/2025,459,0.452896169,0.054640999,Referral,Summer Launch
7/4/2025,492,0.428155578,0.045731057,Referral,Summer Launch
7/5/2025,519,0.585765962,0.046801229,Organic Search,Summer Launch
7/6/2025,468,0.498148686,0.044226827,Direct,Summer Launch
7/7/2025,453,0.532271856,0.033455381,Organic Search,Summer Launch
7/8/2025,517,0.489123985,0.058034234,Direct,Summer Launch
7/9/2025,486,0.522409248,0.050251848,Direct,Summer Launch
7/10/2025,460,0.502451017,0.059959966,Referral,Summer Launch
7/11/2025,508,0.715318246,0.034653049,Direct,Summer Launch
7/12/2025,505,0.718980293,0.033834034,Paid Search,Summer Launch
7/13/2025,485,0.287610428,0.0394849,Social Media,Summer Launch
7/14/2025,505,0.534175598,0.087523417,Direct,Summer Launch
7/15/2025,974,0.410158533,0.059838383,Social Media,Summer Launch
7/16/2025,536,0.367976679,0.086629175,Organic Search,Summer Launch
7/17/2025,542,0.617944012,0.040616487,Referral,Summer Launch
7/18/2025,506,0.488546015,0.074756326,Referral,Summer Launch
7/19/2025,494,0.50052437,0.050939612,Direct,Summer Launch
7/20/2025,526,0.393237957,0.04715241,Social Media,Summer Launch
7/21/2025,553,0.571161488,0.027507158,Direct,Summer Launch
7/22/2025,508,0.533231401,0.035030269,Referral,Summer Launch
7/23/2025,501,0.617929718,0.05135037,Organic Search,Summer Launch
7/24/2025,503,0.475103585,0.069431419,Direct,Summer Launch
7/25/2025,471,0.564537595,0.077372631,Referral,Summer Launch
7/26/2025,514,0.605842449,0.01482521,Organic Search,Summer Launch
7/27/2025,493,0.473059317,0.064350845,Referral,Summer Launch
7/28/2025,501,0.662861555,0.022397971,Direct,Summer Launch
7/29/2025,499,0.538406545,0.049346105,Paid Search,Summer Launch
7/30/2025,499,0.36955305,0.063393451,Social Media,Summer Launch
7/31/2025,460,0.536659825,0.031202404,Organic Search,Summer Launch
8/1/2025,238,0.49373209,0.069102846,Social Media,Back to School
8/2/2025,511,0.446974238,0.034142543,Organic Search,Back to School
8/3/2025,476,0.489296964,0.029295154,Paid Search,Back to School
8/4/2025,479,0.696472513,0.050705271,Paid Search,Back to School
8/5/2025,508,0.488767195,0.045580608,Social Media,Back to School
8/6/2025,522,0.446949885,0.038483635,Organic Search,Back to School
8/7/2025,492,0.348480894,0.077337485,Referral,Back to School
8/8/2025,498,0.557655696,0.056225003,Paid Search,Back to School
8/9/2025,501,0.487208241,0.030889191,Paid Search,Back to School
8/10/2025,502,0.424364925,0.021554926,Social Media,Back to School
8/11/2025,480,0.668714164,0.067632795,Social Media,Back to School
8/12/2025,520,0.507736831,0.032774316,Paid Search,Back to School
8/13/2025,505,0.396275385,0.046193226,Direct,Back to School
8/14/2025,485,0.592617755,0.088188333,Organic Search,Back to School
8/15/2025,982,0.360143243,0.061259385,Social Media,Back to School
8/16/2025,466,0.434935743,0.040257492,Direct,Back to School
8/17/2025,477,0.504852163,0.033380998,Social Media,Back to School
8/18/2025,494,0.476105195,0.031848727,Organic Search,Back to School
8/19/2025,523,0.550091719,0.030448895,Direct,Back to School
8/20/2025,541,0.333059472,0.060867204,Organic Search,Back to School
8/21/2025,519,0.423674084,0.013902358,Paid Search,Back to School
8/22/2025,500,0.52597225,0.031913667,Organic Search,Back to School
8/23/2025,486,0.49339202,0.025779676,Direct,Back to School
8/24/2025,502,0.413958663,0.042308889,Organic Search,Back to School
8/25/2025,488,0.583569211,0.027405863,Organic Search,Back to School
8/26/2025,518,0.25283555,0.034062095,Organic Search,Back to School
8/27/2025,490,0.537114587,0.037920296,Paid Search,Back to School
8/28/2025,545,0.508658979,0.046886455,Referral,Back to School
8/29/2025,505,0.533760266,0.041762461,Direct,Back to School
8/30/2025,479,0.539445214,0.04158031,Organic Search,Back to School
8/31/2025,511,0.58711247,0.043479529,Social Media,Back to School
9/1/2025,246,0.296187546,0.029838274,Social Media,Back to School
9/2/2025,498,0.501841838,0.083528746,Referral,Back to School
9/3/2025,481,0.582940558,0.005777294,Direct,Back to School
9/4/2025,535,0.352141375,0.072875081,Referral,Back to School
9/5/2025,472,0.563278187,0.095413857,Direct,Back to School
9/6/2025,533,0.45406391,0.033003113,Direct,Back to School
9/7/2025,483,0.507156624,0.040446851,Organic Search,Back to School
9/8/2025,518,0.603753994,0.039799672,Referral,Back to School
9/9/2025,468,0.473012506,0.030424726,Direct,Back to School
9/10/2025,521,0.575698862,0.031556694,Direct,Back to School
9/11/2025,515,0.54134349,0.087535916,Paid Search,Back to School
9/12/2025,483,0.322127975,0.079920886,Organic Search,Back to School
9/13/2025,498,0.527996863,0.027490219,Direct,Back to School
9/14/2025,500,0.510939479,0.064515332,Paid Search,Back to School
9/15/2025,1026,0.420952554,0.059429367,Social Media,Back to School
9/16/2025,505,0.659318663,0.039775686,Social Media,Back to School
9/17/2025,543,0.401039518,0.047484262,Paid Search,Back to School
9/18/2025,470,0.505572491,0.07188383,Direct,Back to School
9/19/2025,506,0.48419921,0.041462379,Referral,Back to School
9/20/2025,522,0.398789562,0.016902867,Social Media,Back to School
9/21/2025,502,0.37100391,0.024098425,Paid Search,Back to School
9/22/2025,516,0.474040865,0.019937141,Organic Search,Back to School
9/23/2025,472,0.230311336,0.048914103,Direct,Back to School
9/24/2025,537,0.684895609,0.072531301,Referral,Back to School
9/25/2025,473,0.75733598,0.051184369,Organic Search,Back to School
9/26/2025,457,0.519808476,0.047112792,Paid Search,Back to School
9/27/2025,479,0.496724673,0.039131505,Paid Search,Back to School
9/28/2025,504,0.474502278,0.08007986,Organic Search,Back to School
9/29/2025,501,0.624608519,0.008532195,Referral,Back to School
9/30/2025,474,0.359248831,0.034443666,Organic Search,Back to School
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Dataset Features:,,,,,
,,,,,
Date: Daily entries from April to September 2025,,,,,
Sessions: Simulated traffic volume with spikes on the 15th and drops on the 1st of each month,,,,,
Bounce Rate: Normally distributed around 50%,,,,,
Conversion Rate: Normally distributed around 5%,,,,,
"Traffic Source: Randomly selected from Organic Search, Paid Search, Social Media, Referral, and Direct",,,,,
"Campaign: Assigned based on month (Spring Sale, Summer Launch, Back to School)",,,,,
